index,Function ID,Critical Work Function,Key Tasks
3769,3769,manage engineering projects,"['analyse relevance of emerging trends on engineering project solutions', 'drive synergy across systems and engineering projects', 'chart overall tender strategies for engineering projects', 'oversee capital replacement projects', 'drive the implementation of engineering projects']"
3770,3770,manage engineering projects,"['support process safety reviews for plant operations, moc projects and new projects', 'review the scope of engineering projects and lead the evaluation of vendor proposals against engineering design specifications', 'lead the development of technical documents for equipment operation and maintenance with reference to vendors’ equipment manuals as part of management of change (moc)', 'lead the execution of engineering projects including feasibility studies, engineering design, procurement, construction, pre-startup safety reviews (pssr), start-up and commissioning']"
3771,3771,manage engineering projects,"['establish best practices in the implementation of engineering standards and design', 'drive direction and strategies for the development and implementation of engineering projects', 'provide concise design criteria and process constraints in the management of capital projects for process facilities expansions or improvements', 'provide technical expertise and validate process safety reviews for plant operations, management of change (moc) projects and new projects']"
3772,3772,manage engineering projects,"['endorse technical documents for equipment operation and maintenance', 'endorse the scope of engineering projects and selection of vendors', 'conduct process safety reviews for plant operation, management of change (moc) projects and new projects']"
3773,3773,manage engineering projects,"['define the scope of engineering projects and evaluate vendor proposals against engineering design specifications', 'develop technical documents for equipment operation and maintenance with reference to vendors’ equipment manuals as part of management of change (moc)', 'support the execution of engineering projects including feasibility studies, engineering design, procurement, construction, pre-startup safety reviews (pssr), start-up and commissioning', 'support process safety reviews for plant operation, moc projects and new projects']"
3774,3774,manage engineering projects,"['review feasibility and provide technical inputs on solutions provided by contractors and consultants', 'write tender specifications for engineering projects', 'conduct investigations on defective works from engineering projects', 'lead small-scale capital replacement project tenders', 'provide regular project management updates to higher authorities']"
3775,3775,manage enterprise business risks,"['spearhead workplace safety and health culture within the organisation', 'lead governance and compliance to corporate governance regulations', 'lead brand responsibility and reputation management within the organisation to reduce reputational risk', ""drive organisation's enterprise risk management and mitigation plans"", 'lead development of business continuity strategies, policies and guidelines', 'lead communication and understanding of risk management policies and procedures within the organisation']"
3776,3776,manage environmental management system (ems) implementation,"['implement ems standards, policies and procedures', 'conduct routine ems compliance reviews and audits', 'assist in ems communication and engagement', 'implement environmentally sustainable work practices', 'assist with the development of ems framework']"
3777,3777,manage environmental management system (ems) implementation,"['manage the development of ems framework', 'develop and review environmentally sustainable work practices', 'manage ems compliance reviews and audits', 'evaluate and review ems standards, policies and procedures']"
3778,3778,manage equipment automation and optimisation,"['review new versus rebuilt equipment, existing versus new technologies and labour versus automation to achieve best value engineering solutions', 'lead data analytics and engineering feasibility studies for alternative engineering solutions', 'review equipment operating parameters, limits and engineering controls for the optimisation of equipment reliability and availability', 'review the analysis of real-time equipment data and vendor data and make recommendations for equipment efficiency improvements']"
3779,3779,manage equipment automation and optimisation,"['recommend new process technologies and applications', 'recommend technologies and techniques that enhance the efficiency and effectiveness of production and maintenance activities', 'act as the liaison between internal and/or external engineering groups and plant customers to ensure engineering input quality']"
3780,3780,manage equipment automation and optimisation,"['drive the research and adoption of new technologies for data analytics', 'provide leadership and direction for new technologies and equipment for operational excellence']"
3781,3781,manage equipment automation and optimisation,"['endorse equipment operating parameters, limits and engineering controls for safe and optimum operating conditions', 'endorse new versus rebuilt equipment, existing versus new technologies and labour versus automation to achieve best value engineering solutions', 'drive equipment reliability and availability reviews to maximise equipment utilisation', 'strategise the use of data analytics across the plant and derive actionable insights for alternative engineering solutions', 'endorse recommendations for equipment efficiency improvements']"
3782,3782,manage equipment automation and optimisation,"['compare new versus rebuilt equipment, existing versus new technologies, and labour versus automation to achieve best value engineering solutions', 'support analyses of real-time equipment data and vendor data and make recommendations for equipment efficiency improvements', 'perform data analytics and engineering feasibility studies for alternative engineering solutions', 'define equipment operating parameters, limits and engineering controls for the optimisation of equipment reliability and availability']"
3783,3783,manage equipment automation and optimisation,"['synthesise data across entire plants for equipment integration and optimisation', 'provide engineering guidance and oversight to various departments to achieve best value engineering solutions', 'lead technical investigations, tests and validations of new technologies and equipment for operational excellence', 'drive the optimisation of process equipment reliability and availability', 'recommend technologies and techniques that enhance the efficiency and effectiveness of production and maintenance activities']"
3784,3784,manage equipment capability,"['improve equipment capability indices to meet organisation goals', 'adopt new technologies to improve equipment systems', 'manage maintenance for all equipment', 'design data monitoring systems to aid data analytics']"
3785,3785,manage equipment capability,"['maintain optimum equipment performance', 'interpret information provided by the networks and/or dashboard for equipment performance monitoring']"
3786,3786,manage equipment capability,"['manage equipment monitoring', 'adopt new technologies to improve equipment system', 'implement network solutions for capability monitoring']"
3787,3787,manage event sales,"['collaborate with relevant internal stakeholders to enhance product and service offerings', 'communicate guidelines and parameters for event sales to subordinates', 'supervise site visits for clients', ""manage clients' expectations of events"", ""consult relevant internal stakeholders on feasibility and suitability of clients' event requests and requirements""]"
3788,3788,manage event sales,"['lead collaboration with relevant internal stakeholders to enhance product and service offerings', 'approve complex client event requests and requirements', 'set guidelines and parameters for event sales']"
3789,3789,manage event sales,"['provide responses to enquiries on venue facilities and specifications', 'conduct site recces with clients', ""gather information on clients' preferences and feedback"", ""provide first-level responses to clients' event requests and requirements""]"
3790,3790,manage event space,"['drive engagement with business development department to identify opportunities for events growth', 'define types and scale of events that can be held on site at the attractions', 'develop guidelines on event boundary management and zoning of attractions sites']"
3791,3791,manage event space,"['assist in event boundary management and zoning of attractions sites', 'coordinate collaboration efforts with business development department', 'assist in regulating type and scale of events held on-site at the attractions']"
3792,3792,manage event space,"['regulate type and scale of events held on site at the attractions', 'collaborate with business development department to support event growth opportunities', 'perform event boundary management and zoning of attractions sites']"
3793,3793,manage execution of engineering construction projects,"['solicit required work permits and approvals based on regulatory and legislative prerequisites', 'ensure adherence to construction sequence and project plans for engineering construction activities']"
3794,3794,manage execution of engineering construction projects,"['provide discipline engineering support for project scoping, procurement and contractor selection', 'develop construction sequence and project plans for engineering construction activities', 'conduct constructability and feasibility reviews for engineering designs', 'implement organisational approaches to resolve conflicts and disputes', 'identify required work permits and approvals based on regulatory and legislative prerequisites']"
3795,3795,manage execution of engineering construction projects,"['lead constructability and feasibility reviews for engineering designs', 'lead discipline engineering support for project scoping, procurement and contractor selection', 'review construction sequence and project plans to ensure alignment with construction strategies and methods', 'ensure compliance with required work permits and approvals based on regulatory and legislative prerequisites', 'ensure mitigation of potential conflicts and disputes using relevant organisational approaches']"
3796,3796,manage execution of engineering construction projects,"['establish construction strategy and methods for engineering construction activities', 'formulate procedures to ensure compliance with work permits and regulatory and legislative pre-requisites', 'provide technical expertise to validate constructability and feasibility reviews for engineering designs', 'drive effective working relationships using appropriate communication protocols, and conflict and dispute resolution mechanisms', 'provide expert technical advice for project scoping, procurement and contractor selection']"
3797,3797,manage execution of engineering construction projects,"['assist with soliciting required work permits and approvals based on regulatory and legislative prerequisites', 'monitor execution of engineering construction activities in line with construction sequence']"
3798,3798,manage execution of engineering projects,"['drive direction and strategies for engineering projects in line with organisational strategies and plans', 'formulate strategies to ensure operational excellence and effectiveness across the engineering value chain', 'establish communication protocols and conflict and dispute resolution mechanisms for strengthening industrial relations', 'establish workflows to ensure effectiveness of front-end engineering and design (feed) for engineering projects', 'endorse feasibility and process safety reviews for engineering projects', 'establish strategies to drive compliance with regulatory and legislative requirements']"
3799,3799,manage facility operations,"['coordinate movements of building assets', 'coordinate facility operations and retrofitting activities', 'supervise routine maintenance services of third-party service providers', 'prepare progress reports on service quality and user-raised feedback', 'trigger fault calls', 'communicate with relevant personnel for timely actions in response to user requests and feedback', 'review documentation on procedures and schedules of custodial services', 'track consumable and non-consumable items']"
3800,3800,manage facility operations,"['track cases for closure of fault calls within stipulated times', 'check documentation on procedures and schedules of custodial services', 'manage the movements of building assets', 'manage facility operations and retrofitting activities', 'trigger timely procurement of consumable and non-consumable items', 'manage third parties service providers to ensure quality of services', 'deploy relevant personnel for timely actions in response to user requests and feedback', 'review progress reports and recommend actions to be taken']"
3801,3801,manage facility operations,"['develop procurement plans for consumable and non-consumable items based on past purchases', 'evaluate the services provided by third parties against contractual terms and scope of work', 'evaluate technical reports and progress reports to propose recommendations', 'maintain trust and rapport with users through consistency in service standards', 'establish incident response procedures', 'develop quality standards and procedures for preventive and corrective maintenance works', 'formulate plans to improve facility operations', 'develop recommendations for service quality improvements from data analytics']"
3802,3802,manage facility operations,"['lead technical investigations in response to fault calls', 'supervise maintenance or repair works of third party service providers', 'review preventive and corrective maintenance works to ensure adherence to quality and safety standards, procedures and regulations', 'review documentation on procedures and schedules of maintenance works', 'prepare technical reports on service quality and user-raised feedback', 'track consumable and non-consumable items']"
3803,3803,manage facility operations,"['check documentation on procedures and schedules of maintenance works', 'close fault-call or escalate matters when there are incidents', 'trigger timely procurement of consumable and non-consumable items', 'inspect preventive and corrective maintenance works to ensure adherence to quality and safety standards, procedures and regulations', 'review technical reports and recommend actions to be taken', 'manage third party service providers to ensure maintenance or repair works are carried out timely']"
3804,3804,manage facility operations,"['complete documentation on procedures and schedules of custodial services', 'coordinate routine maintenance services of third-party service providers', 'inspect the conditions of building assets', 'draw consumable and non-consumable items when required', 'coordinate facility operations and retrofitting activities', ""attend to users' requests and feedback"", 'track movements of building assets']"
3805,3805,manage facility operations,"['introduce plans to improve facility operations', 'build strategic relationships with third party service providers', 'approve inventory projections and quantity of consumable and non-consumable items for procurement', 'drive culture of strong quality standards and procedures for preventive and corrective maintenance works', 'drive action plans derived from data insights for service quality improvements', 'evaluate incident response procedures to ensure timeliness and quality of services', 'drive service excellence and user satisfaction', 'institutionalise effective action plans in terms of organisational policies and procedures']"
3806,3806,manage facility operations,"['implement quality standards and procedures for preventive and corrective maintenance works', 'establish trust and rapport with users through service standards', 'analyse maintenance data', 'submit technical reports and progress reports to the management', 'project quantity of consumable and non-consumable items for procurement based on past purchases', 'evaluate facility operations and retrofitting activities', 'assess the performance of third-party service providers in their service delivery', 'implement solutions based on incident response procedures']"
3807,3807,manage facility operations,"['complete documentation on procedures and schedules of maintenance works', 'liaise with third party service providers on maintenance or repair works', 'draw consumable and non-consumable items when required', 'provide summary reports on preventive and corrective maintenance works', 'conduct technical investigation in response to fault calls', 'perform preventive and corrective maintenance works according to quality and safety standards, procedures and regulations']"
3808,3808,manage facility system capabilities,"['improve facility capability indices to meet organisation goals', 'adopt new technologies to improve facility systems', 'manage maintenance for all facilities', 'design data monitoring systems to aid data analytics']"
3809,3809,manage facility system capabilities,"['manage facilities system monitoring', 'adopt new technologies to improve facility systems', 'implement network solutions for capability monitoring']"
3810,3810,manage facility system capabilities,"['interpret information provided by the network and/or dashboard for facility performance monitoring', 'maintain optimal facilities performance']"
3811,3811,manage factory production,"['plan for storage space, logistic arrangement and transportation of deliverables to construction sites in alignment with logistics schedule', 'investigate causes of production faults', 'apply established policies and procedures to raise awareness and manage factory sites risks', 'assess that procedures taken to measure production components are correct', 'assess production progress reports', 'assess regular inspections outcomes to align with relevant compliance, regulatory and legislative requirements', 'check tender specifications to submit request for information (rfi) in the event of disagreement', 'plan manpower allocation for improved efficiency']"
3812,3812,manage factory production,"[""support planning of manpower and supervise team's efficiency"", 'support logistic arrangement and transportation of deliverables to construction sites', 'support the production progress reports preparation process', 'supervise the measurement of production components', 'take corrective actions to rectify production faults', 'supervise the operations and risks of factory sites', 'facilitate regular inspections within the regime of project quality plan (pqp), to align with relevant compliance, regulatory and legislative requirements']"
3813,3813,manage factory production,"['implement established policies and procedures to raise awareness and manage factory sites risks', 'review manpower allocation plan for efficiency considerations', 'monitor logistic arrangement on of deliverables in alignment with logistics schedules', 'review construction contractual and tender documents for submission', 'manage cases of non-compliance to align with relevant compliance, regulatory and legislative requirements', 'implement policies and procedures for accurate measurements', 'supervise investigations of the causes of production faults', 'monitor building progress in alignment with time, cost, and quality guidelines']"
3814,3814,manage factory production,"['develop standards for accurate measurements', 'endorse construction contractual and tender documents for submission', 'oversee that deliverables are transported to construction sites in alignment with logistic schedules', 'develop policies and procedures to raise awareness and manage factory site risks', 'define standards of compliance and set guidelines to address non-compliance issues', 'oversee that building progress is in alignment with time, cost, and quality guidelines', 'recommend corrective actions to rectify production faults', 'approve manpower allocation plan']"
3815,3815,manage factory production,"['prepare project quality plan (pqp) for inspection purposes', 'prepare production progress reports for relevant stakeholders', 'update relevant stakeholders about  transportation of deliverables to the sites']"
3816,3816,manage factory production,"['resolve issues related to transportation of deliverables to the sites', 'review production process reports for accuracy', 'review project quality plan (pqp) for accuracy']"
3817,3817,manage family and community programmes,"['identify areas for improvements for family and community programmes and initiatives', 'support the development of outreach activities to create awareness on centre programmes and services', 'implement centre initiatives, family and community initiatives and programmes']"
3818,3818,manage family and community programmes,"['plan the enhancements of initiatives and programmes at centre-level, cross-centre level and centre-family-community level', 'represent the centre in the collaboration with families and community stakeholders', 'drive the development of new promotional activities of centre programmes and services']"
3819,3819,manage family and community programmes,"['refine outreach activities in promoting early intervention programmes and services', 'review the identified improvement areas for overall plans for family and community programmes and initiatives', 'lead implementation of family and community programmes and initiatives']"
3820,3820,manage family and community programmes,"['lead the development of family and community initiatives across centres and programmes', 'strategise the promotion of centre programmes and services', 'strategise the enhancements of cross-centre initiatives, cross-centre family and community initiatives and cross-centre programmes']"
3821,3821,manage family and community programmes,"['support the development of outreach activities to create awareness on centre programmes and services', 'identify areas of improvements for family and community initiatives and programmes', 'support the implementation of centre initiatives, family and community initiatives and programmes']"
3822,3822,manage family and community programmes,"['identify areas for improvements for family and community programmes and initiatives', 'support the development of outreach activities to create awareness on centre programmes and services', 'support the implementation of centre initiatives, family and community initiatives and programmes']"
3823,3823,manage family and community programmes,"['collaborate with colleagues to execute outreach activities to promote centre programmes and services', 'collaborate with colleagues to evaluate family and community initiatives and programmes for improvements', 'collaborate with colleagues to execute collaborative projects with families and community stakeholders']"
3824,3824,manage family and community programmes,"['evaluate family and community initiatives and programmes for improvements', 'execute collaborative projects with families and community stakeholders']"
3825,3825,manage family and community programmes,"['propose areas for improvements for family and community initiatives and programmes', 'execute outreach activities to promote centre programmes and services', 'execute collaborative projects with families and community stakeholders']"
3826,3826,manage family and community programmes,"['coordinate the development of cross-centre initiatives, cross-centre family and community initiatives and cross-centre programmes', 'evaluate the overall plans for cross-centre initiatives, cross-centre family and community initiatives and cross-centre programmes for improvements', 'evaluate effectiveness of outreach activities in promoting centre programmes and services']"
3827,3827,manage family and community programmes,"['develop centre initiatives, family and community initiatives and programmes', 'evaluate family and community initiatives and programmes for improvements', 'develop outreach activities to promote centre programmes and services']"
3828,3828,manage family and community programmes,"['evaluate family and community initiatives and programmes for improvements', 'develop centre, family and community initiatives and programmes', 'develop outreach activities to promote centre programmes and services']"
3829,3829,manage family and community programmes,"['refine outreach activities in promoting centre programmes and services', 'review the overall plans for family and community initiatives and programmes for improvements', 'lead the implementation of collaborative efforts amongst families and community stakeholders']"
3830,3830,manage family and community programmes,"['review the overall plans for family and community initiatives and programmes for improvements', 'lead the implementation of collaborative efforts amongst families and community stakeholders', 'develop outreach activities to promote centre programmes and services']"
3831,3831,manage family and community programmes,"['implement centre, family and community initiatives and programmes', 'implement outreach activities to promote centre programmes and services', 'identify areas of improvements for family and community initiatives and programmes']"
3832,3832,manage family and community programmes,"['lead the development of cross-centre initiatives, cross-centre family and community initiatives and cross-centre programmes', 'oversee the enhancements of cross-centre initiatives, cross-centre family and community initiatives and cross-centre programmes for improvements', 'develop outreach strategies for promoting centre programmes and services']"
3833,3833,manage family and community programmes,"['guide the execution of collaborative projects with families and community stakeholders', 'evaluate family and community initiatives and programmes for improvements', 'develop outreach activities to promote centre programmes and services']"
3834,3834,manage family and community programmes,"['drive the enhancements of programmes and initiatives at centre-level, cross-centre level and centre-family-community level initiatives, centre-family-community', 'strategise the promotion of early intervention programmes and services', 'lead the strategic development of family and community programmes and initiatives at cluster level']"
3835,3835,manage family and community programmes,"['drive the enhancements of initiatives and programmes at centre-level, cross-centre level and centre-family-community level', 'establish a culture of professional collaboration with families and community stakeholders', 'strategise the promotion of centre and beyond centre programmes and services']"
3836,3836,manage family and community programmes,"['implement family and community programmes and initiatives', 'identify areas of improvement for family and community programmes and initiatives', 'develop outreach activities to promote early intervention programmes and services']"
3837,3837,manage family and community programmes,"['evaluate effectiveness of outreach activities', 'review the overall plans for family and community initiatives and programmes for improvements', 'refine the development of centre, family and community initiatives and programmes']"
3838,3838,manage family and community programmes,"['drive the development of new promotional activities of early intervention programmes and services', 'plan the enhancements of initiatives and programmes at centre-level, cross-centre level and centre-family-community level', 'review family and community programmes and initiatives']"
3839,3839,manage family and community programmes,"['drive the enhancements of programmes and initiatives at centre-level, cross-centre level and centre-family-community level for improvements', 'develop outreach strategies for promoting centre programmes and services', 'lead the development of programmes and initiatives at centre-level, cross-centre level and centre-family-community level']"
3840,3840,manage family and community programmes,"['develop centre initiatives, family and community initiatives and programmes', 'review family and community programmes and initiatives for improvements', 'develop outreach activities to promote centre programmes and services']"
3841,3841,manage family and community programmes,"['evaluate effectiveness of outreach activities in promoting centre programmes and services', 'review the development of programmes and initiatives at centre-level, cross-centre level and centre-family-community level', 'plan the enhancements of programmes and initiatives at centre-level, cross-centre level and centre-family-community level for improvements']"
3842,3842,manage family and community programmes,"['provide administrative and logistical support for the development of outreach activities to create awareness of services provided by the centre', 'support the implementation of centre initiatives, family and community initiatives and programmes']"
3843,3843,manage family and community programmes,"['support the development of outreach activities to create awareness on centre programmes and services', 'implement centre initiatives, family and community initiatives and programmes', 'identify areas of improvements for family and community initiatives and programmes']"
3844,3844,manage feasibility and design phase,"['review the outcomes of pre-design work and feasibility studies', 'review the outcomes of site and zoning analyses for verification of compliance with relevant zoning codes', 'review designs taking into consideration technical aspects, relevant codes and standards, and good practices', 'drive the design processes to meet project objectives', 'deliver design presentations', ""review designs to the client's briefs, budgets, timelines and in compliance with the authorities' requirements"", 'resolve design developments and technical issues taking materials into consideration', 'validate the designs for pricing purposes']"
3845,3845,manage feasibility and design phase,"['endorse the design processes to meet project objectives', 'facilitate design presentations discussions', ""provide subject matter expertise on designs in alignment with the client's briefs, budgets, timelines and in compliance with the authorities' requirements"", ""develop the organisation's processes and procedures to resolve design developments and technical issues taking material quality and standards into consideration"", ""establish organisation's policies and procedures for record keeping and documentation"", 'sign-off on designs to verify compliance with relevant codes and standards', 'endorse the outcomes of pre-design work and feasibility studies', 'establish procedures to ensure compliance with relevant zoning codes']"
3846,3846,manage feasibility and design phase,"['support design developments and resolution of technical issues', ""assist to design to the client's briefs, budgets, timelines and in compliance with authorities' requirements"", 'assist in the development of designs taking into consideration technical aspects, relevant codes and standards, and good practice', 'document the designs for pricing purposes', 'support the preparation of reports on the outcomes of site and zoning analyses', 'support pre-design work and feasibility studies', 'support the design processes to meet project objectives']"
3847,3847,manage feasibility and design phase,"['maintain design databases and documentation', 'identify appropriate materials for application to projects', 'assist in the development of computational designs using digital tools and platforms', 'analyse data obtained from site analyses']"
3848,3848,manage feasibility and design phase,"['conduct pre-design work and feasibility studies', ""define designs to the client's briefs, budgets, timelines and in compliance with the authorities' requirements"", 'provide inputs to resolve design developments and technical issues taking materials into consideration', 'deliver design presentations', 'conduct site and zoning analyses', 'manage the design processes to meet project objectives', 'develop designs taking into consideration technical aspects, relevant codes and standards, and good practices', 'review the designs for pricing purposes']"
3849,3849,manage feasibility and design phase,"['develop computational designs using digital tools and platforms', 'review data obtained from site analyses', 'provide inputs and alternatives on construction and build materials based on material analyses', 'analyse design databases and documentation']"
3850,3850,manage feasibility and design phase,"['validate design databases and documentation', 'validate the use of materials for projects based on material analyses', ""review designs to the client's briefs, budgets, timelines and in compliance with the authorities' requirements"", 'review computational designs using digital tools and platforms', 'determine relevancy of data from site analyses for application to the projects']"
3851,3851,manage financial crime-related risk governance frameworks,"['execute financial crime compliance (fcc) management actions based on defined strategies, policies and frameworks', 'identify and highlight the latest financial crimes, sanctions-related industry trends and regulatory requirements which may impact organisational policies and frameworks', 'identify possible gaps in systems architecture used to support fcc management', 'maintain and document financial crime and sanction-related policies, processes and procedures']"
3852,3852,manage financial crime-related risk governance frameworks,"['ensure changes to policies, processes and procedures are endorsed and communicated to relevant parties', ""ensure fcc strategies and policies are translated to processes and procedures in accordance with the organisation's risk management frameworks"", 'review and propose enhancements to systems architecture based on fcc management needs', 'oversee the implementation of financial crime compliance (fcc) management based on policies and frameworks', 'evaluate the robustness of internal fcc policies to identify improvements and refine procedures to keep up with industry trends and regulatory requirements']"
3853,3853,manage financial crime-related risk governance frameworks,"['conduct reviews and revisions on existing financial crime-related risk policies, frameworks and knowledge management systems in response to the changing environment, and industry developments and trends', 'ensure the alignment of fcc strategies and policies to overall organisational compliance strategies and risk exposure thresholds', 'oversee the development of financial crime and sanction-related controls and programmes', 'develop strategies, policies and frameworks for dealing with financial crime compliance (fcc) and sanctions', 'develop systems architecture strategies for fcc management needs']"
3854,3854,"manage financial deals, portfolio value and related financial risks","['liaise with stakeholders for the preparation of hedging activities', 'provide administrative support for deals on spot and term basis']"
3855,3855,"manage financial deals, portfolio value and related financial risks","['execute deals on spot and term basis', 'collaborate with stakeholders to execute hedging strategies', 'maintain trade entries, profit and loss, and mark-to-market reports']"
3856,3856,"manage financial deals, portfolio value and related financial risks","['influence stakeholders for the development of hedging strategies', 'develop trading strategies on spot and term basis', 'analyse research information to identify appropriate trading deals', 'optimise trading decisions across portfolios to maximise revenue while balancing the needs of multiple stakeholders', 'evaluate business and financial impacts based on trade entry, profit and loss, and mark-to-market reports']"
3857,3857,manage financial sustainability and profitability,"['lead partnerships and sponsorship management', 'review major procurement activities for the organisation', 'lead organisational financial budgeting', ""drive organisation's financial risk management and mitigation plans"", 'provide strategic guidance on pricing of products and services']"
3858,3858,manage fire safety processes,"['present fire code requirements and fire prevention information to relevant persons to maintain safety', 'assist with the development of fire evacuation plans and fire drills', 'identify corrective actions necessary to bring properties into compliance with applicable standards', 'inspect facilities regularly to locate hazardous conditions and fire code violations, recommend rectifying actions']"
3859,3859,manage fire safety processes,"['evaluate inspected facilities to locate hazardous conditions, fire code violations and approve recommended rectifying actions', 'develop fire evacuation plans and oversee the execution of fire drills', 'evaluate identified corrective actions necessary ensure properties comply with applicable regulations and standards']"
3860,3860,manage flight schedules,"['endorse decisions pertaining to flight scheduling and slot coordination for the airline', 'lead optimisation of aircraft deployment, flight frequencies and timing to improve performance']"
3861,3861,manage flight schedules,"['implement and coordinate timely schedule changes and processes with relevant departments and stakeholders', 'develop short-term network plans for current and upcoming schedule seasons', 'conduct research to review traffic rights and airport constraints of flight routes']"
3862,3862,manage flight schedules,"['manage the schedule planning processes and ensure adherences to international air transport association (iata) guidelines', 'attend world slot guideline conferences to negotiate on slot coordination', 'secure arrival and departure time slots based on flight schedules, aircraft turnaround activities and airport constraints', 'manage airline slot portfolio through consultation with airports to improve existing slots and acquire new slots']"
3863,3863,manage flight schedules,"['perform scheduled performance analyses to identify underperforming rotations', 'conduct research on competitors and airport constraints for proposed new routes', 'manage day-to-day flight scheduling activities', ""produce flight schedules based on estimated profitability of routes, airport constraints and airlines' fleet constraints""]"
3864,3864,manage food and beverage operations,"['monitor profitability and costs for the operations of kitchen', 'supervise day-to-day operations of kitchen', 'interview new staff', 'plan staff roster to ensure adequate manpower', 'translate team members’ skill requirements into learning and development plans', 'monitor portion and waste control to minimise loss and wastage', 'implement organisational stock control procedures and systems', 'coordinate crisis response and recovery activities in accordance with business continuity policies']"
3865,3865,manage food and beverage operations,"['build relationships and network for business opportunities and partnerships', 'review the proposed purchases across outlets', 'deploy business continuity and crisis management across the outlets', 'interview new staff', 'review operational budgets across outlets', ""review multi-outlets' learning and career development initiatives to align organisation's learning agenda"", 'review staff roster to ensure adequate manpower across outlets', 'review strategies to achieve sales targets across outlets']"
3866,3866,manage food and beverage operations,"['plan operational budgets for the outlet', ""develop strategies to achieve sales targets according to customers' profiles"", 'review staff roster to ensure adequate manpower for each outlet', 'interview new staff', 'translate team members’ skill requirements into learning and development plans', 'analyse inventory levels to propose purchases for the outlet', 'coordinate crisis response and recovery activities in accordance with business continuity policies', 'monitor opening, operating, and closing of shifts for the outlet']"
3867,3867,manage food and beverage operations,"['supervise day-to-day operations of pastry and baking kitchen', 'monitor profitability and costs for pastry and baking operations', 'interview new staff', 'plan staff roster to ensure adequate manpower', 'translate team members’ skill requirements into learning and development plans', 'implement organisational stock control procedures and systems', 'coordinate crisis response and recovery activities in accordance with business continuity policies']"
3868,3868,manage food and beverage operations,"['build relationships and network for business opportunities and partnerships', 'manage pastry and baking kitchen operations', 'review learning and development needs of team members', 'deploy business continuity and crisis management across the kitchen', 'approve the hiring of new staff', 'drive organisational policies and procedures for inventory management', 'approve staff rosters to ensure adequate manpower', 'review profitability and costs for pastry and baking operations']"
3869,3869,manage food and beverage operations,"['build relationships and network for business opportunities and partnerships', 'manage business continuity and crisis management across the kitchen', 'review learning and development needs of team members', 'approve the hiring of new staff', 'drive organisational policies and procedures for inventory management', 'approve staff rosters to ensure adequate manpower', 'review profitability and costs for the culinary arts operations', 'coordinate all sections in the kitchen', 'develop food waste control guidelines']"
3870,3870,manage food and beverage operations,"[""develop strategies to achieve sales targets according to customers' profiles"", 'plan operational budgets for the team', 'analyse inventory levels to propose purchases for the team', 'interview new staff', 'translate team members’ skill requirements into learning and development plans', 'review staff roster to ensure adequate manpower for the team', 'coordinate crisis response and recovery activities in accordance with business continuity policies', 'monitor opening, operating, and closing of shifts for the outlet', ""develop strategies to achieve sales targets according to customers' profiles"", 'plan operational budgets for the team', 'analyse inventory levels to propose purchases for the team', 'interview new staff', 'translate team members’ skill requirements into learning and development plans', 'review staff roster to ensure adequate manpower for the team', 'coordinate crisis response and recovery activities in accordance with business continuity policies', 'monitor opening, operating, and closing of shifts for the outlet', ""develop strategies to achieve sales targets according to customers' profiles"", 'plan operational budgets for the team', 'analyse inventory levels to propose purchases for the team', 'interview new staff', 'translate team members’ skill requirements into learning and development plans', 'review staff roster to ensure adequate manpower for the team', 'coordinate crisis response and recovery activities in accordance with business continuity policies', 'monitor opening, operating, and closing of shifts for the outlet']"
3871,3871,manage food and beverage operations,"[""review teams' learning and career development initiatives to align organisation's learning agenda"", 'build relationships and network for business opportunities and partnerships', 'review staff roster to ensure adequate manpower across teams', 'review operational budgets across teams', 'deploy business continuity and crisis management across the outlets', 'interview new staff', 'review the proposed purchases across teams', 'review strategies to achieve sales targets across teams']"
3872,3872,manage food preparation,"['define food plating concepts of food items across organisation', 'define food quality and portion standards across organisation']"
3873,3873,manage food preparation,"['define food quality and portion standards across the organisation', 'define food plating concepts of food items across the organisation']"
3874,3874,manage food preparation,"['inspect food quality and portions to ensure required standards are met', 'inspect quality of food plating to ensure required standards are met when running the pass']"
3875,3875,manage food production hygiene and quality standards,"['ensure compliance to food hygiene and quality standards', 'document food hygiene and quality audit findings']"
3876,3876,manage food production hygiene and quality standards,"['implement research and development (r and d) initiatives to improve food quality standards', 'analyse customer feedback on in-flight meals', 'present food hygiene and quality audit findings to higher authorities', 'review inspection standards and procedures for raw materials', 'present customer satisfaction analysis to higher authorities']"
